point,date,time,distance,elevation,observed_gravity
bs1,1023,17:42, 0, 0, 2581.570
N0W0, 1023, 17:55, 17.222, -0.381, 2581.901
N0W1, 1023, 18.35, 89.352, -8.221, 2583.552
N0W2, 1023, 19:08, 193.218, -13.961, 2585.157
N0W3, 1023, 19:30, 291.279, -15.762, 2585.873
N0W4, 1023, 19:43, 390.392, -16.797, 2585.955
N0W5, 1023, 19:52, 490.766, -19.670, 2586.544
N0W6, 1023, 20:17, 592.873, -21.365, 2586.900
N0W7, 1023, 22:32, 692.181, -23.016, 2587.434
N0W8, 1023, 22:46, 791.707, -25.151, 2587.991
N0W9, 1023, 23:00, 890.141, -25.342, 2588.105
N0W10, 1023, 23:11, 988.982, -24.161, 2587.520
N0W11, 1023, 23:22, 1091.316, -22.703, 2586.927
N0W12, 1023, 23:33, 1188.850, -19.791, 2586.168
N0W13, 1023, 23:44, 1292.035, -6.525, 2582.946
N0W14, 1023, 23:58, 1378.255, 4.437, 2580.082
