Unit,SiO2,Volume,Method
b18,49.16,0.027029684,IDW4C
bg3,49.96,0.040141967,IDW4C
bp1,52.31,0.076447784,IDW4C
md36,53.57,0.018421082,IDW4C
mdp,53.68,0.039009339,IDW4C
mbx,53.74,0.010205274,IDW4C
mrd,54.4,0.734012143,IDW4C
mrm,54.47,0.147660911,IDW4C
meh,54.53,0.001512749,IDW4C
a74,57.48,0.121498735,IDW4C
asp,57.89,0.10658666,IDW4C
ah,57.97,3.323087146,IDW4C
av,58.96,1.015586437,IDW4C
ac,60.46,0.950722572,IDW4C
drr,63.72,0.380163103,IDW4C
b18,49.16,0.021791766,GPI1C
bg3,49.96,0.041584589,GPI1C
bp1,52.31,0.086076476,GPI1C
md36,53.57,0.025283132,GPI1C
mdp,53.68,0.037565156,GPI1C
mbx,53.74,0.008769498,GPI1C
mrd,54.4,0.821242619,GPI1C
mrm,54.47,0.176772992,GPI1C
meh,54.53,0.004445279,GPI1C
a74,57.48,0.253974742,GPI1C
asp,57.89,0.110552274,GPI1C
ah,57.97,3.923768167,GPI1C
av,58.96,0.950393702,GPI1C
ac,60.46,1.207120563,GPI1C
drr,63.72,0.420842695,GPI1C
b18,49.16,0.03778689,GPI2C
bg3,49.96,0.05089454,GPI2C
bp1,52.31,0.079673972,GPI2C
md36,53.57,0.02112834,GPI2C
mdp,53.68,0.043664885,GPI2C
mbx,53.74,0.009795973,GPI2C
mrd,54.4,0.66538946,GPI2C
mrm,54.47,0.160316259,GPI2C
meh,54.53,0.002310356,GPI2C
a74,57.48,0.123819656,GPI2C
asp,57.89,0.122592715,GPI2C
ah,57.97,1.929455921,GPI2C
av,58.96,0.640365498,GPI2C
ac,60.46,1.020724736,GPI2C
drr,63.72,0.459281513,GPI2C
